season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;34.51;0;6;1;-1;0;0;1;6.25;-2;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
2014-2015;36.34;0;7;1;-2;0;0;1;1.83;-3;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
2014-2015;44.14;1;8;1;-3;0;0;1;7.8;-4;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;46.38;0;9;1;-2;0;0;1;2.24;1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;56.17;1;10;2;-3;1;0;1;9.79;-1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;1;0;1;0;0;0;0;1;;0;;;;;2.03;2.87;4.25;3.93
2014-2015;6.41;0;2;1;-1;0;0;1;5.41;-1;2.78;2.10;3.58;3.73;2.03;2.87;4.25;3.93
2014-2015;11.14;0;3;1;-2;0;0;1;4.73;-2;2.78;2.10;3.58;3.73;2.03;2.87;4.25;3.93
2014-2015;19.42;1;4;1;-3;0;0;1;8.28;-3;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;21;1;5;1;-2;0;0;1;1.58;1;2.03;2.87;4.25;3.93;2.78;2.10;3.58;3.73
2014-2015;25.52;0;6;0;-1;1;0;1;4.52;2;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;30.5;1;7;-1;-2;0;0;1;4.98;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;34.14;0;8;-1;-1;0;0;1;3.64;1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;43;1;9;0;-2;0;0;1;8.86;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;45.49;1;10;0;-1;0;0;1;2.49;1;2.03;2.87;4.25;3.93;2.78;2.10;3.58;3.73
2014-2015;50.52;1;11;-1;0;1;0;1;5.03;2;2.03;2.87;4.25;3.93;2.78;2.10;3.58;3.73
2014-2015;58.5;0;12;-3;1;1;0;1;7.98;3;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;58.5;0;13;-3;0;0;0;1;0;-1;2.78;2.10;3.58;3.73;2.03;2.87;4.25;3.93
2014-2015;58.5;0;14;-3;-1;0;0;1;0;-2;2.78;2.10;3.58;3.73;2.03;2.87;4.25;3.93
2014-2015;58.5;0;15;-3;-2;0;0;1;0;-3;2.78;2.10;3.58;3.73;2.03;2.87;4.25;3.93
2014-2015;58.5;1;16;-3;-3;0;0;1;0;-4;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;58.5;1;17;-3;-2;0;0;1;0;1;2.03;2.87;4.25;3.93;2.78;2.10;3.58;3.73
2014-2015;58.5;1;18;-3;-1;0;0;1;0;2;2.03;2.87;4.25;3.93;2.78;2.10;3.58;3.73
2014-2015;2.47;0;1;0;0;0;0;1;;0;;;;;2.77;2.48;3.73;4.48
2014-2015;6.21;1;2;0;-1;0;0;1;3.74;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;7.51;0;3;0;0;0;0;1;1.3;1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;17.31;1;4;1;-1;0;0;1;9.8;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;21.48;1;5;1;0;0;0;1;4.17;1;2.77;2.48;3.73;4.48;2.08;2.77;4.08;4.23
2014-2015;26.22;0;6;1;1;0;0;1;4.74;2;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;30.4;1;7;1;0;0;0;1;4.18;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;45.24;1;8;1;1;0;0;1;14.84;1;2.77;2.48;3.73;4.48;2.08;2.77;4.08;4.23
2014-2015;48.4;1;9;1;2;0;0;1;3.16;2;2.77;2.48;3.73;4.48;2.08;2.77;4.08;4.23
2014-2015;54.06;0;10;1;3;0;0;1;5.66;3;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;59.35;1;11;1;2;0;0;1;5.29;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;4.33;0;1;0;0;0;0;1;;0;;;;;2.38;2.75;3.55;3.83
2014-2015;6.53;1;2;0;-1;0;0;1;2.2;-1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;8.57;0;3;-1;0;1;0;1;2.04;1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;15.16;0;4;0;-1;0;0;1;6.59;-1;2.50;2.68;4.30;4.47;2.38;2.75;3.55;3.83
2014-2015;18.14;1;5;0;-2;0;0;1;2.98;-2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;27.11;0;6;0;-1;0;0;1;8.97;1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;31.35;1;7;0;-2;0;0;1;4.24;-1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;35.1;0;8;0;-1;0;0;1;3.75;1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;38.1;0;9;0;-2;0;0;1;3;-1;2.50;2.68;4.30;4.47;2.38;2.75;3.55;3.83
2014-2015;40.33;0;10;0;-3;0;0;1;2.23;-2;2.50;2.68;4.30;4.47;2.38;2.75;3.55;3.83
2014-2015;54.53;1;11;-3;-4;0;0;1;14.2;-3;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;55.11;1;12;-3;-3;0;0;1;0.58;1;2.38;2.75;3.55;3.83;2.50;2.68;4.30;4.47
2014-2015;58.02;1;13;-4;-2;1;0;1;2.91;2;2.38;2.75;3.55;3.83;2.50;2.68;4.30;4.47
2014-2015;58.54;1;14;-4;-1;0;0;1;0.52;3;2.38;2.75;3.55;3.83;2.50;2.68;4.30;4.47
2014-2015;8.57;1;1;0;0;0;0;1;;0;;;;;2.72;2.45;4.28;3.80
2014-2015;12.29;0;2;0;1;0;0;1;3.72;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;15.51;1;3;1;0;1;0;1;3.22;-1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;16.23;1;4;1;1;0;0;1;0.72;1;2.52;2.43;4.45;4.43;2.72;2.45;4.28;3.80
2014-2015;21.48;1;5;1;2;0;0;1;5.25;2;2.52;2.43;4.45;4.43;2.72;2.45;4.28;3.80
2014-2015;30.54;0;6;1;3;0;0;1;9.06;3;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
