id;season;year;date;homeTeam;awayTeam;name;time;type;home;numpen;goaldiff;pendiff;ppgoal;capacity;reason;month;inRow;timebetpens;referees;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Kalle Maalahti;6.47;2;0;2;0;1;0;0;huitominen;1;1;6.07;Tuomas Pöyhönen-Teemu Salminen;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;David McIntyre;17.23;2;0;3;1;0;1;0;estäminen;1;-1;10.76;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Antti Halonen;25.41;2;1;4;2;-1;1;0;koukkaaminen;1;-2;8.18;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Matti Järvinen;29.48;2;0;5;2;0;0;0;selästä taklaaminen;1;1;4.07;Tuomas Pöyhönen-Teemu Salminen;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Joukkuerangaistus;34.4;2;1;6;2;-1;0;0;liian monta pelaajaa jäällä;1;-1;4.92;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Dave Spina;44.3;2;0;7;1;0;1;0;estäminen;1;1;9.9;Tuomas Pöyhönen-Teemu Salminen;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Tommi Jokinen;46.35;2;0;8;1;-1;0;0;huitominen;1;-1;2.05;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Janne Tavi;47.18;2;0;9;1;-2;0;0;koukkaaminen;1;-2;0.83;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Mikko Nuutinen;54.39;2;1;10;2;-3;1;0;kampitus;1;-3;7.21;Tuomas Pöyhönen-Teemu Salminen;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Toni Hyvärinen;60;2;1;11;3;-2;0;0;väkivaltaisuus;1;1;5.61;Tuomas Pöyhönen-Teemu Salminen;2.23;1.92;3.72;3.73;2.52;2.43;4.45;4.43
